Entity,Routed,TTLDrops,Reroutes,AvgLatency_ns,NoRouteDrops,DisabledDrops
Router_0,33,0,6,0,8,0
Router_1,7,0,0,0,0,0
Router_2,21,0,2,0,4,0
Router_3,22,0,0,0,0,0
Router_4,6,0,0,0,0,0
Router_5,18,0,0,0,0,0
Router_6,19,0,6,0,0,0
Router_7,0,0,0,0,0,0
Router_8,4,0,2,0,0,0
Router_9,6,0,0,0,0,0
Router_10,2,0,0,0,0,0
Router_11,2,3,0,0,0,0
Router_12,19,0,6,0,0,0
Router_13,0,0,0,0,0,0
Router_14,4,0,2,0,0,0
Router_15,6,0,0,0,0,0
Router_16,2,0,0,0,0,0
Router_17,5,0,0,0,0,0
Router_18,24,3,0,0,0,0
Router_19,6,0,0,0,0,0
Router_20,17,0,0,0,5,0
Router_21,15,0,0,0,0,0
Router_22,21,2,0,0,0,0
Router_23,25,0,0,0,0,0
CPU_101,15,0,0,52533.3,0,0
CPU_63,5,0,0,44200,0,0
CPU_10,5,0,0,59000,0,0
CPU_102,8,0,0,60000,0,0
